id,event_type,event_cause,priority,corridor,zone,target_clearance_duration_mins,extracted_severity,vehicle_class,action_agency,osm_edge_u,osm_edge_v,road_highway_type,road_lanes,road_maxspeed
FKID000161,unplanned,others,Low,Non-corridor,,81.46960444999999,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,1575576657,62053640,primary,1,40.0
FKID000162,unplanned,others,High,Mysore Road,,15.3042995,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,699684302,1780334125,trunk,1,40.0
FKID000163,unplanned,tree_fall,Low,Non-corridor,,178.15932105,NORMAL_OBSTRUCTION,OTHER,BBMP,10094964529,5318359120,secondary,1,40.0
FKID000166,planned,construction,High,Bellary Road 2,,31.910260883333333,PARTIAL_BLOCK,OTHER,TRAFFIC_POLICE,11486387657,13851353728,trunk,3,80.0
FKID000171,unplanned,vehicle_breakdown,Low,Non-corridor,,11.80107465,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,11873401772,11837026152,trunk,3,50.0
FKID000172,unplanned,vehicle_breakdown,High,Magadi Road,,24.504338233333332,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,10044622840,4703697696,primary,1,40.0
FKID000174,unplanned,tree_fall,Low,Non-corridor,,1228.0686473666667,NORMAL_OBSTRUCTION,OTHER,BBMP,5354016784,305158074,residential,1,40.0
FKID000176,unplanned,vehicle_breakdown,High,Tumkur Road,,86.29591815,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,1054665144,3834008960,motorway,2,120.0
FKID000183,unplanned,vehicle_breakdown,High,ORR North 1,,18.84050655,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,1681844139,11850325025,trunk,3,50.0
FKID000184,unplanned,vehicle_breakdown,High,Bellary Road 1,,23.641425966666667,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,2703669948,11645479502,primary,3,60.0
FKID000185,unplanned,vehicle_breakdown,High,Tumkur Road,,36.504006333333336,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,12408651403,426941397,tertiary,1,40.0
FKID000186,unplanned,vehicle_breakdown,High,Mysore Road,,23.382822833333332,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,12404749228,2224183083,trunk,1,40.0
FKID000187,unplanned,vehicle_breakdown,Low,Non-corridor,,104.21347743333334,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,2738971487,10848479262,secondary,1,40.0
FKID000188,unplanned,vehicle_breakdown,High,Bellary Road 1,,86.29412574999999,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,3236644363,461755265,residential,2,40.0
FKID000189,unplanned,vehicle_breakdown,High,Old Airport Road,,70.8526748,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,286681963,286654942,primary_link,1,40.0
FKID000197,unplanned,vehicle_breakdown,High,Magadi Road,,72.9697583,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,4692323159,4692323158,primary,1,40.0
FKID000199,unplanned,construction,High,Bellary Road 2,,60.798384383333335,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,4950155141,4950155142,residential,1,40.0
FKID000202,unplanned,others,High,Bannerghata Road,,119.59072880000001,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,13296328816,13296328822,primary,2,40.0
FKID000203,unplanned,vehicle_breakdown,Low,Non-corridor,,78.98550595,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,248181106,1448635305,primary,2,50.0
FKID000205,unplanned,vehicle_breakdown,High,ORR North 2,,138.03128305,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,10101014915,9187809762,residential,1,40.0
FKID000206,unplanned,vehicle_breakdown,High,Old Airport Road,,28.376774483333335,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,298830842,298830949,primary,2,40.0
FKID000208,unplanned,vehicle_breakdown,Low,Non-corridor,,93.05635131666666,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,7287518225,7287518226,secondary,1,40.0
FKID000214,unplanned,vehicle_breakdown,High,Hosur Road,,11.49699995,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,7466389297,11919389038,tertiary,2,40.0
FKID000218,unplanned,others,Low,Non-corridor,,199.88949181666666,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,10026312487,429001217,secondary,1,40.0
FKID000224,unplanned,vehicle_breakdown,High,Hosur Road,,75.03727443333334,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,3554996303,1311837516,tertiary,2,40.0
FKID000226,unplanned,others,High,Hennur Main Road,,43.87439846666667,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,353187827,353187828,tertiary,2,40.0
FKID000234,unplanned,vehicle_breakdown,High,Tumkur Road,,22.174727083333334,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,6575118683,473755428,trunk_link,2,40.0
FKID000243,unplanned,tree_fall,Low,Non-corridor,,105.48940756666666,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,2246716668,10081235849,tertiary,1,40.0
FKID000245,unplanned,vehicle_breakdown,High,Mysore Road,,57.51257438333334,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,12077162815,12128921371,primary,1,40.0
FKID000249,unplanned,vehicle_breakdown,High,Tumkur Road,,33.33879541666667,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,9845753061,6033543904,residential,1,40.0
FKID000250,unplanned,vehicle_breakdown,High,Mysore Road,,39.6093981,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,248671281,11387074773,residential,1,40.0
FKID000254,unplanned,vehicle_breakdown,High,Tumkur Road,,10.150965166666667,PARTIAL_BLOCK,LIGHT_VEHICLE,TRAFFIC_POLICE,1054665144,3834008960,motorway,2,120.0
FKID000255,unplanned,tree_fall,Low,Non-corridor,,66.3340463,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,11913265913,493514805,secondary,1,40.0
FKID000256,unplanned,vehicle_breakdown,High,ORR East 1,,19.115834,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,2156205416,2130361899,tertiary,2,40.0
FKID000260,unplanned,others,Low,Non-corridor,,42.96236663333333,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,3820070688,11554362419,trunk,1,60.0
FKID000264,unplanned,road_conditions,Low,Non-corridor,,1107.1190462833333,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,10056189410,331147702,primary,2,40.0
FKID000265,unplanned,others,Low,Non-corridor,,87.31756581666667,PARTIAL_BLOCK,OTHER,TRAFFIC_POLICE,307937874,7174681346,primary,2,40.0
FKID000267,unplanned,vehicle_breakdown,High,Mysore Road,,66.13607151666666,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,11919132703,7132452567,primary,3,25.0
FKID000268,unplanned,vehicle_breakdown,High,ORR East 1,,13.551236183333334,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,2406966812,10147078393,trunk,3,60.0
FKID000271,unplanned,vehicle_breakdown,High,Tumkur Road,,30.63011775,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,12528812417,10991477213,trunk_link,1,40.0
FKID000273,unplanned,vehicle_breakdown,Low,Non-corridor,,18.7735204,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,10148771374,10148771375,motorway_link,1,40.0
FKID000274,unplanned,vehicle_breakdown,Low,Non-corridor,,77.0688961,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,11290801953,308717384,residential,1,40.0
FKID000283,unplanned,water_logging,Low,Non-corridor,,820.8788695333334,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,10676264308,1780091304,primary,2,40.0
FKID000294,unplanned,others,Low,Non-corridor,,25.367629383333334,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,10060392828,1521180189,residential,1,40.0
FKID000299,unplanned,vehicle_breakdown,High,Mysore Road,,15.771932999999999,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,2221301400,2221301377,trunk,1,40.0
FKID000301,unplanned,accident,High,Old Airport Road,,35.956496816666665,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,298830791,298830842,primary,2,40.0
FKID000309,unplanned,others,High,Mysore Road,,17.062712316666666,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,1487973881,7146532190,trunk,1,40.0
FKID000313,unplanned,vehicle_breakdown,Low,Non-corridor,,35.281999049999996,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,7482954939,1570455253,primary,1,40.0
FKID000315,unplanned,others,Low,Non-corridor,,1.0946760500000001,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,13135627938,10172979413,secondary,2,40.0
FKID000321,unplanned,vehicle_breakdown,High,ORR West 1,,20.211203416666667,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,7100647720,7100647721,secondary,1,40.0
FKID000322,unplanned,vehicle_breakdown,High,Bellary Road 1,,141.64393971666667,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,429286750,429286743,primary,1,40.0
FKID000328,unplanned,accident,Low,Non-corridor,,78.2774947,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,429001107,456181218,secondary,1,40.0
FKID000330,unplanned,vehicle_breakdown,High,ORR West 1,,36.08605643333333,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,12648799090,6449168616,trunk,2,60.0
FKID000336,unplanned,vehicle_breakdown,High,Hosur Road,,31.520573033333335,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,11919389037,13633447127,trunk,3,80.0
FKID000338,unplanned,vehicle_breakdown,High,Tumkur Road,,132.2670364,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,6033543904,10274836882,tertiary,2,50.0
FKID000343,unplanned,vehicle_breakdown,Low,Non-corridor,,72.34147603333332,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,429724016,294084041,primary,1,40.0
FKID000344,unplanned,vehicle_breakdown,High,Hosur Road,,96.5241556,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,494271029,6521889001,primary,3,60.0
FKID000348,unplanned,tree_fall,Low,Non-corridor,,508.2992390666667,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,10094632262,529359263,tertiary,1,50.0
FKID000349,unplanned,vehicle_breakdown,High,ORR West 1,,75.99775528333333,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,5354016751,12139191796,tertiary,1,40.0
FKID000354,unplanned,vehicle_breakdown,High,Old Airport Road,,10.359373833333333,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,11337845996,11337846009,primary,2,40.0
FKID000358,unplanned,vehicle_breakdown,High,Bellary Road 1,,10.859754400000002,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,13052245188,13052245180,trunk_link,2,30.0
FKID000366,unplanned,vehicle_breakdown,High,ORR North 1,,80.29286535,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,3800594551,442107275,trunk,3,60.0
FKID000369,unplanned,vehicle_breakdown,High,ORR East 1,,16.53580991666667,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,6462301370,2509419432,tertiary,2,30.0
FKID000372,unplanned,others,High,Mysore Road,,36.87994801666667,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,248677965,4928538046,trunk,1,40.0
FKID000377,unplanned,vehicle_breakdown,Low,Non-corridor,,83.28090113333333,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,2334345414,429303204,living_street,1,40.0
FKID000380,unplanned,vehicle_breakdown,Low,Non-corridor,,23.753298683333334,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,7398254387,12097502536,unclassified,1,40.0
FKID000382,unplanned,vehicle_breakdown,Low,Non-corridor,,73.46585520000001,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,7121595597,7121595606,residential,1,40.0
FKID000383,unplanned,vehicle_breakdown,High,Magadi Road,,72.26638113333334,PARTIAL_BLOCK,BMTC_BUS,TRAFFIC_POLICE,10028885260,308069153,primary,1,40.0
FKID000384,unplanned,vehicle_breakdown,High,Bellary Road 1,,92.67076003333334,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,3325533369,582566943,trunk,3,60.0
FKID000385,unplanned,vehicle_breakdown,High,Mysore Road,,14.5656122,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,1523171187,5358267800,trunk,1,40.0
FKID000387,unplanned,vehicle_breakdown,Low,Non-corridor,,12.90432295,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,1837297548,13064812730,primary,1,40.0
FKID000395,unplanned,vehicle_breakdown,High,Tumkur Road,,102.77983354999999,PARTIAL_BLOCK,OTHER,TRAFFIC_POLICE,610334162,610334163,trunk,2,50.0
FKID000398,unplanned,vehicle_breakdown,High,Tumkur Road,,104.3606748,PARTIAL_BLOCK,BMTC_BUS,TRAFFIC_POLICE,10274836882,10274836878,tertiary,2,50.0
FKID000399,unplanned,vehicle_breakdown,Low,Non-corridor,,11.195320116666666,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,7398254385,7396736259,primary,2,40.0
FKID000402,unplanned,vehicle_breakdown,Low,Non-corridor,,79.53191238333334,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,12456171487,11890611423,secondary,1,40.0
FKID000404,unplanned,accident,Low,Non-corridor,,0.8491233333333333,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,4948835585,959499417,secondary,2,50.0
FKID000410,unplanned,vehicle_breakdown,Low,Non-corridor,,69.83975466666668,NORMAL_OBSTRUCTION,OTHER,BBMP,1442068027,1442068016,primary_link,1,40.0
FKID000413,unplanned,vehicle_breakdown,High,Tumkur Road,,10.261219083333334,PARTIAL_BLOCK,OTHER,TRAFFIC_POLICE,11964711936,10994313530,trunk,2,60.0
FKID000416,unplanned,vehicle_breakdown,Low,Non-corridor,,15.854282233333333,NORMAL_OBSTRUCTION,LIGHT_VEHICLE,TRAFFIC_POLICE,12075650279,6152743483,primary,2,40.0
FKID000417,unplanned,vehicle_breakdown,High,Old Airport Road,,40.82496125,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,1371978437,11228965364,primary,2,40.0
FKID000420,unplanned,vehicle_breakdown,High,Mysore Road,,39.93153236666667,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,10043357422,1274615226,secondary,3,60.0
FKID000421,unplanned,tree_fall,Low,Non-corridor,,52.854736083333336,NORMAL_OBSTRUCTION,OTHER,BBMP,4833573665,4833570264,secondary,2,40.0
FKID000425,unplanned,water_logging,Low,Non-corridor,,45.86103,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,10001436746,10001436747,primary_link,1,40.0
FKID000430,unplanned,others,High,Magadi Road,,24.955134649999998,NORMAL_OBSTRUCTION,LIGHT_VEHICLE,TRAFFIC_POLICE,1820423092,10044505582,primary,1,40.0
FKID000431,unplanned,vehicle_breakdown,Low,Non-corridor,,22.23222121666667,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,1835344809,10091712169,secondary,1,40.0
FKID000434,unplanned,vehicle_breakdown,Low,Non-corridor,,32.981926566666665,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,559375851,9784696350,residential,1,40.0
FKID000442,unplanned,vehicle_breakdown,Low,Non-corridor,,24.749764333333335,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,10092099787,2227865062,residential,1,40.0
FKID000450,unplanned,vehicle_breakdown,High,Magadi Road,,107.40422818333333,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,6142999388,9771052411,primary,1,40.0
FKID000456,unplanned,water_logging,Low,Non-corridor,,634.7593560833334,PARTIAL_BLOCK,OTHER,TRAFFIC_POLICE,7467098559,7467098563,tertiary,2,40.0
FKID000457,unplanned,tree_fall,High,ORR West 1,,628.0100223833334,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,1331989770,11308911770,trunk,2,50.0
FKID000458,unplanned,vehicle_breakdown,High,ORR West 1,,39.407815049999996,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,248678541,2411279734,trunk,2,50.0
FKID000461,unplanned,accident,High,Tumkur Road,,34.37267258333333,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,3833785299,3833840726,motorway,2,120.0
FKID000464,unplanned,vehicle_breakdown,High,Tumkur Road,,45.264776866666665,PARTIAL_BLOCK,LIGHT_VEHICLE,TRAFFIC_POLICE,1054665144,3834008960,motorway,2,120.0
FKID000467,unplanned,vehicle_breakdown,Low,Non-corridor,,45.61544075,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,249782488,2227583972,residential,1,40.0
FKID000471,unplanned,vehicle_breakdown,High,Magadi Road,,77.75613968333333,NORMAL_OBSTRUCTION,HEAVY_GOODS,TRAFFIC_POLICE,1588411178,1588411085,primary,1,40.0
FKID000472,unplanned,others,High,ORR East 2,,170.56828548333334,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,6152828047,10050249651,tertiary,2,40.0
FKID000473,unplanned,others,High,ORR East 2,,18.06991683333333,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,12167710569,442107152,trunk,2,40.0
FKID000474,unplanned,vehicle_breakdown,High,ORR North 2,,90.19006885,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,10039201707,9187809775,trunk,2,60.0
FKID000477,unplanned,water_logging,Low,Non-corridor,,1043.3983678333332,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,10676264308,1780091304,primary,2,40.0
FKID000479,unplanned,vehicle_breakdown,High,Bellary Road 2,,12.225998116666666,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,960240892,960240543,residential,1,40.0
FKID000480,unplanned,water_logging,Low,Non-corridor,,1039.9556850166666,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,10676264308,1780091304,primary,2,40.0
FKID000492,unplanned,tree_fall,High,Hosur Road,,62.19627536666667,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,1070361682,13922445485,tertiary,2,30.0
FKID000495,unplanned,vehicle_breakdown,High,Bellary Road 2,,76.96167763333332,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,12781999510,2611179356,secondary,2,40.0
FKID000500,unplanned,vehicle_breakdown,High,Mysore Road,,61.782266433333334,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,1274615226,12460929648,secondary,3,60.0
FKID000501,unplanned,vehicle_breakdown,High,Varthur Road,,37.483846299999996,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,343326429,11350180411,trunk,3,60.0
FKID000503,unplanned,vehicle_breakdown,High,ORR West 1,,39.58132188333333,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,1517474204,6474747118,tertiary,1,40.0
FKID000504,unplanned,congestion,High,Hennur Main Road,,41.08258143333333,PARTIAL_BLOCK,OTHER,TRAFFIC_POLICE,2459007972,2411018091,trunk_link,3,40.0
FKID000513,unplanned,others,Low,Non-corridor,,567.0433455166666,PARTIAL_BLOCK,OTHER,TRAFFIC_POLICE,594599852,6167853988,primary,2,40.0
FKID000520,unplanned,vehicle_breakdown,High,Bellary Road 1,,110.65663531666668,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,11864823655,1748652160,tertiary,1,40.0
FKID000531,unplanned,vehicle_breakdown,Low,Non-corridor,,75.83953751666667,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,9910918458,9910918465,primary_link,1,40.0
FKID000533,unplanned,others,Low,Non-corridor,,19.413640933333333,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,4792982252,1615691829,residential,1,40.0
FKID000535,unplanned,vehicle_breakdown,High,Bellary Road 1,,21.48659638333333,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,2630925139,10062810921,tertiary,1,40.0
FKID000537,unplanned,vehicle_breakdown,High,Old Airport Road,,10.285472433333332,PARTIAL_BLOCK,BMTC_BUS,TRAFFIC_POLICE,298775392,12067366799,primary,1,40.0
FKID000538,unplanned,vehicle_breakdown,High,Mysore Road,,78.04236811666667,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,6932109139,699704164,secondary,1,40.0
FKID000539,unplanned,vehicle_breakdown,High,Tumkur Road,,8.949905016666666,PARTIAL_BLOCK,OTHER,TRAFFIC_POLICE,2446079578,11964711936,trunk,2,60.0
FKID000541,unplanned,vehicle_breakdown,High,Old Airport Road,,85.34070533333333,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,347261831,11337845996,tertiary,2,40.0
FKID000544,unplanned,vehicle_breakdown,High,Bellary Road 1,,74.08036368333335,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,1435578886,295734747,primary,2,40.0
FKID000556,unplanned,vehicle_breakdown,High,Hosur Road,,57.48541201666667,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,4294218106,2472174963,primary,3,60.0
FKID000563,unplanned,accident,High,Bellary Road 1,,16.25948615,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,12193788163,3739201969,trunk,3,80.0
